;;;;;;;;;;;;CSI code volwassenen;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;FT - OT >18;;;;;;;;;;;;;;;FT onder de 18 jaar;;;;;;;OT onder de 18 jaar;;;;;
DCSPH;lichaamslocalisatie;pathologie;lichaamslocalisatie;pathologie;"status 
DCSPH";omschrijving pathologieën ;Bekken FT pathologieën;Maximale termijn;Andere voorwaarden;Omschrijving;Aanspraak;001;008;009;10;011;012;013;014;015;016;017;018;019;020;021;001;003;004;005;009;020;021;001;006;007;009;020;021
1000;10;00;Achterzijde hoofd;Amputatie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;10;01;Achterzijde hoofd;Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;10;02;Achterzijde hoofd;Botten, uitgezonderd wervelkolom;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;10;03;Achterzijde hoofd;Meniscectomie, synovectomie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;10;04;Achterzijde hoofd;Pees, spier, ligament;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005;10;05;Achterzijde hoofd;Wervelkolom;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006;10;06;Achterzijde hoofd;Verwijderde osteosynthese materiaal;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1008;10;08;Achterzijde hoofd;Postoperatieve contractuur / atrofie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1009;10;09;Achterzijde hoofd;Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010;10;10;Achterzijde hoofd;Aseptische botnecrose;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011;10;11;Achterzijde hoofd;Afwijkingen wervelkolom / bekken;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1012;10;12;Achterzijde hoofd;Skeletafwijkingen (aangeboren);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1013;10;13;Achterzijde hoofd;Ossificatiestoornis;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;10;14;Achterzijde hoofd;Ontstekingen / nieuwvormingen in het skelet;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1015;10;15;Achterzijde hoofd;Pseudo-arthrose / epiphysiolysis / apofysitiden;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1016;10;16;Achterzijde hoofd;Standsafwijkingen extremiteiten;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1017;10;17;Achterzijde hoofd;Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1018;10;18;Achterzijde hoofd;Overige orthopedische aandoeningen zonder chirurgie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1019;10;19;Achterzijde hoofd;Dupuytren;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1020;10;20;Achterzijde hoofd;Epicondylitis / tendinitis / tendovaginitis;open;;;;;;Niet Bijlage 1;;;x;;;;;;;;;;;;;;x;x;x;x;;;;x;x;x;;
1021;10;21;Achterzijde hoofd;Bursitis (niet traumatisch) / capsulitis;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1022;10;22;Achterzijde hoofd;Chondropathie / arthropathie / meniscuslaesie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1023;10;23;Achterzijde hoofd;Arthrose;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024;10;24;Achterzijde hoofd;Osteoporose;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025;10;25;Achterzijde hoofd;Syndroom van Costen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1026;10;26;Achterzijde hoofd;Spier-, pees- en fascie aandoeningen;open;;;;;;Niet Bijlage 1;;;x;;;;;;;;;;;;;;x;x;x;x;;;;x;x;x;;
1027;10;27;Achterzijde hoofd;Discusdegeneratie, coccygodynie / HNP;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1028;10;28;Achterzijde hoofd;Sudeckse a(dys)trofie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1031;10;31;Achterzijde hoofd;Gewrichtcontusie / -distorsie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1032;10;32;Achterzijde hoofd;Luxatie (sub-);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1033;10;33;Achterzijde hoofd;Spier-, peesruptuur / haematoom;open;;;12 mnd in aansluiting op opname ziekenhuis of revalidatie-inrichting.;Start behandeling binnen 3 maanden na ontslag*;"D5°. status na opname in een ziekenhuis, een verpleeginrichting of een instelling voor revalidatie dan wel na dagbehandeling in een instelling voor revalidatie en de hulp dient ter bespoediging van het herstel na ontslag naar huis of de beëindiging van de dagbehandeling;";Bijlage 1 / Niet Bijlage 1 ;x;x;x;; ; ;;;;;;;;;;x;x;x;x;x;;;x;x;x;x;;
1034;10;34;Achterzijde hoofd;Hydrops / haemarthos / haematoom;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035;10;35;Achterzijde hoofd;Myositis ossificans / adhaesies / traumatische bursitis;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1036;10;36;Achterzijde hoofd;Fracturen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1037;10;37;Achterzijde hoofd;?;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1038;10;38;Achterzijde hoofd;Whiplash injury (nektrauma);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1039;10;39;Achterzijde hoofd;Status na brandwonden;open;;;"D4° o.b.v. med.noodzaak
D5° 12 mnd in aansluiting op opname ziekenhuis of revalidatie-inrichting.";D5° Start behandeling binnen 3 maanden na ontslag*.;"D4°. littekenweefsel van de huid al dan niet na een trauma;
D5°. status na opname in een ziekenhuis, een verpleeginrichting of een instelling voor revalidatie dan wel na dagbehandeling in een instelling voor revalidatie en de hulp dient ter bespoediging van het herstel na ontslag naar huis of de beëindiging van de dagbehandeling;";Bijlage 1 / Niet Bijlage 1 ;x;x;x;; ; ;;;;;;;;;;x;x;x;x;x;;;x;x;x;x;;
1040;10;40;Achterzijde hoofd;Hartaandoeningen (niet genoemd onder 41 t/m 49);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1041;10;41;Achterzijde hoofd;Myocard-infarct (AMI);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1042;10;42;Achterzijde hoofd;Status na coronary artery bypassoperatie (CABG);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1043;10;43;Achterzijde hoofd;Status na percutane transluminale coronair angioplastiek (PTCA);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1044;10;44;Achterzijde hoofd;Status na hartklepoperatie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1045;10;45;Achterzijde hoofd;Status na operatief gecorrigeerde congenitale afwijkingen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1046;10;46;Achterzijde hoofd;Lymfevataandoeningen / oedeem;open;Lymfoedeem/stuwing met destructie van het lymfatische weefsel;;o.b.v. med.noodzaak;;D3°. lymfoedeem;Bijlage 1 / Niet Bijlage 1 ;x;x;x;; ; ;;;;;;;;;;x;x;x;x;x;;;x;x;x;x;;
1047;10;47;Achterzijde hoofd;Ulcus / decubitus / necrose;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1048;10;48;Achterzijde hoofd;Algemeen vaatlijden, circulatiestoornissen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1049;10;49;Achterzijde hoofd;?;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1050;10;50;Achterzijde hoofd;Cara;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1051;10;51;Achterzijde hoofd;Aangeboren afwijkingen tractus respiratorius;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;10;52;Achterzijde hoofd;Pneumothorax / longoedeem;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1053;10;53;Achterzijde hoofd;Luchtweginfecties;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1054;10;54;Achterzijde hoofd;COPD;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1055;10;55;Achterzijde hoofd;Emfyseem;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1056;10;56;Achterzijde hoofd;Interstitiële longaandoeningen incl. sarcoïdose;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1060;10;60;Achterzijde hoofd;Diabetes mellitus;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1061;10;61;Achterzijde hoofd;Immuniteitsstoornissen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1062;10;62;Achterzijde hoofd;Spastisch colon;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1064;10;64;Achterzijde hoofd;Adipositas;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1065;10;65;Achterzijde hoofd;Overige-, erfelijke aandoeningen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1068;10;68;Achterzijde hoofd;Chirurgie niet bewegingsapparaat (niet cardiochirurgie);open;;;12 mnd in aansluiting op opname ziekenhuis of revalidatie-inrichting.;Start behandeling binnen 3 maanden na ontslag*;"D5°. status na opname in een ziekenhuis, een verpleeginrichting of een instelling voor revalidatie dan wel na dagbehandeling in een instelling voor revalidatie en de hulp dient ter bespoediging van het herstel na ontslag naar huis of de beëindiging van de dagbehandeling;";Bijlage 1 / Niet Bijlage 1 ;x;x;x;; ; ;;;;;;;;;;x;x;x;x;x;;;x;x;x;x;;
1069;10;69;Achterzijde hoofd;Nieuwvormingen zonder chirurgie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070;10;70;Achterzijde hoofd;Perifere zenuwaandoening;open;"Neurofibromatose type I met motorische uitval 
Perifere zenuwaandoening met motorische uitval
Zenuwlaesie met motorische uitval
";;o.b.v. med.noodzaak;;A4°. perifere zenuwaandoening indien sprake is van motorische uitval;Bijlage 1 / Niet Bijlage 1 ;x;x;x;; ; ;;;;;;;;;;x;x;x;x;x;;;x;x;x;x;;
1071;10;71;Achterzijde hoofd;Cerebellaire aandoeningen / encephalopathieën;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1072;10;72;Achterzijde hoofd;Cerebrovasculair accident / centrale parese;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1073;10;73;Achterzijde hoofd;Multiple sclerose / ALS/ spinale spieratrofie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1074;10;74;Achterzijde hoofd;Parkinson / extrapyramidale aandoening;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1075;10;75;Achterzijde hoofd;HNP met radiculair syndroom;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1076;10;76;Achterzijde hoofd;Dwarslaesie (incl. traumatisch en partieel);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1077;10;77;Achterzijde hoofd;Neurotraumata;open;;;o.b.v. med.noodzaak;;A4°. perifere zenuwaandoening indien sprake is van motorische uitval;Bijlage 1;x;x;;;;;;;;;;;;;;x;;;;;;;x;;;;;
1078;10;78;Achterzijde hoofd;Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong;open;Polyradiculo/ -neuropathie met parese(n);;o.b.v. med.noodzaak;;A4°. perifere zenuwaandoening indien sprake is van motorische uitval;Bijlage 1;x;x;;;;;;;;;;;;;;x;;;;;;;x;;;;;
1079;10;79;Achterzijde hoofd;Psychomotore retardatie / ontwikkelingsstoornissen;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080;10;80;Achterzijde hoofd;Symptomatologie (nog zonder aanwijsbare pathologie);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1081;10;81;Achterzijde hoofd;Psychosomatische aandoeningen;open;;;;;;Niet Bijlage 1;;;x;;;;;;;;;;;;;;x;x;x;x;;;;x;x;x;;
1082;10;82;Achterzijde hoofd;Hyperventilatie zonder longpathologie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1083;10;83;Achterzijde hoofd;Proctologie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084;10;84;Achterzijde hoofd;M.D.L. (Maag, Darm, Lever);dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1085;10;85;Achterzijde hoofd;Seksuologie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1086;10;86;Achterzijde hoofd;Urine incontinentie, incontinentie urinae;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1087;10;87;Achterzijde hoofd;Fecale incontinentie, incontinentie alvi;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1088;10;88;Achterzijde hoofd;Urologie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1089;10;89;Achterzijde hoofd;Gynaecologie;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1090;10;90;Achterzijde hoofd;Reumatoïde arthritis, chronische reuma;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1091;10;91;Achterzijde hoofd;Juveniel reuma;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1092;10;92;Achterzijde hoofd;(Poly-) arthritis;dicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
